site,net,year,lat,long,distshore,trawl,area,chlorophyll,tempavg,tempstdev,sal,bod,nh3,po4,depth,nflounder
Cork Harbour,BS,2001,51.80699194,-8.251649722,64.7638,0,31.35337541,30,13.99836364,2.230681429,24.49,1.87,0.07,19.471,3.35,15
Cork Harbour,BS,2001,51.80560639,-8.276374722,68.296934,0,31.35337541,3.6,8.235,4.525376227,24.49,1.87,0.07,19.471,3.35,27
Cork Harbour,BS,2001,51.84529944,-8.192530556,42.4169,0,27.81108916,50.6,13.99836364,4.778928899,24.49,1.87,0.07,19.471,3.35,1
Cork Harbour,BS,2001,51.85424583,-8.190014444,38.586779,0,27.81108916,27.1,12.66,4.228859699,24.49,1.87,0.07,19.471,3.35,8
Cork Harbour,BS,2001,51.85657417,-8.189632222,80.802654,0,27.81108916,14,13.048,4.488850218,24.49,1.87,0.07,19.471,3.35,1
Cork Harbour,BS,2001,51.85811056,-8.189769444,44.529306,0,27.81108916,5.1,12.02316667,4.672666943,24.49,1.87,0.07,19.471,3.35,4
Cork Harbour,BS,2001,51.82503083,-8.251010556,54.45638,0,27.81108916,14,13.37702703,4.20822874,24.49,1.87,0.07,19.471,3.35,1
Cork Harbour,BS,2001,51.85842889,-8.262735278,2607.898226,0,27.81108916,6,13.2025,3.959531757,24.49,1.87,0.07,19.471,3.35,3
Cork Harbour,BS,2001,51.85065028,-8.284109722,1995.829307,0,27.81108916,75,15.49090909,3.582665622,24.49,1.87,0.07,19.471,3.35,2
Cork Harbour,BS,2001,51.84475639,-8.311845,1161.761423,0,27.81108916,25,14.22941176,3.911578255,24.49,1.87,0.07,19.471,3.35,0
Cork Harbour,BS,2001,51.83605889,-8.300585278,122.883806,0,27.81108916,14,14.42222222,4.930470176,24.49,1.87,0.07,19.471,3.35,5
Cork Harbour,BS,2001,51.83703417,-8.291596944,530.071238,0,27.81108916,11,12.66530612,3.340159677,24.49,1.87,0.07,19.471,3.35,2
